Time Size Power Thread
0.32 512 1 1
0.32 512 1 2
0.32 512 1 4
0.32 512 1 6
0.32 512 1 8
0.32 512 1 10
0.32 512 1 12
0.32 512 1 14
0.32 512 1 16
0.64 512 2 1
0.32 512 2 2
0.32 512 2 4
0.32 512 2 6
0.32 512 2 8
0.33 512 2 10
0.33 512 2 12
0.34 512 2 14
0.33 512 2 16
0.98 512 3 1
0.64 512 3 2
0.33 512 3 4
0.33 512 3 6
0.33 512 3 8
0.33 512 3 10
0.33 512 3 12
0.33 512 3 14
0.33 512 3 16
1.29 512 4 1
0.64 512 4 2
0.33 512 4 4
0.34 512 4 6
0.34 512 4 8
0.34 512 4 10
0.34 512 4 12
0.34 512 4 14
0.34 512 4 16
1.60 512 5 1
0.96 512 5 2
0.65 512 5 4
0.34 512 5 6
0.35 512 5 8
0.35 512 5 10
0.35 512 5 12
0.35 512 5 14
0.34 512 5 16
1.91 512 6 1
0.95 512 6 2
0.65 512 6 4
0.34 512 6 6
0.34 512 6 8
0.34 512 6 10
0.34 512 6 12
0.35 512 6 14
0.34 512 6 16
2.22 512 7 1
1.28 512 7 2
0.66 512 7 4
0.66 512 7 6
0.36 512 7 8
0.37 512 7 10
0.37 512 7 12
0.37 512 7 14
0.36 512 7 16
2.54 512 8 1
1.27 512 8 2
0.65 512 8 4
0.67 512 8 6
0.38 512 8 8
0.39 512 8 10
0.38 512 8 12
0.38 512 8 14
0.38 512 8 16
2.86 512 9 1
1.59 512 9 2
0.97 512 9 4
0.66 512 9 6
0.68 512 9 8
0.48 512 9 10
0.49 512 9 12
0.49 512 9 14
0.48 512 9 16
3.18 512 10 1
1.59 512 10 2
0.97 512 10 4
0.67 512 10 6
0.70 512 10 8
0.53 512 10 10
0.52 512 10 12
0.52 512 10 14
0.55 512 10 16
3.49 512 11 1
1.90 512 11 2
0.98 512 11 4
0.68 512 11 6
0.69 512 11 8
0.72 512 11 10
0.53 512 11 12
0.52 512 11 14
0.53 512 11 16
3.80 512 12 1
1.91 512 12 2
0.98 512 12 4
0.67 512 12 6
0.71 512 12 8
0.82 512 12 10
0.56 512 12 12
0.54 512 12 14
0.55 512 12 16
4.13 512 13 1
2.23 512 13 2
1.29 512 13 4
1.00 512 13 6
0.71 512 13 8
0.75 512 13 10
0.74 512 13 12
0.63 512 13 14
0.60 512 13 16
4.44 512 14 1
2.22 512 14 2
1.30 512 14 4
0.99 512 14 6
0.72 512 14 8
0.74 512 14 10
0.85 512 14 12
0.64 512 14 14
0.65 512 14 16
4.73 512 15 1
2.54 512 15 2
1.31 512 15 4
1.00 512 15 6
0.75 512 15 8
0.86 512 15 10
0.95 512 15 12
0.95 512 15 14
0.70 512 15 16
5.07 512 16 1
2.54 512 16 2
1.33 512 16 4
1.00 512 16 6
0.76 512 16 8
0.77 512 16 10
0.88 512 16 12
0.94 512 16 14
0.73 512 16 16
2.68 1024 1 1
2.68 1024 1 2
2.68 1024 1 4
2.68 1024 1 6
2.68 1024 1 8
2.68 1024 1 10
2.69 1024 1 12
2.68 1024 1 14
2.68 1024 1 16
5.36 1024 2 1
2.97 1024 2 2
2.71 1024 2 4
2.71 1024 2 6
2.70 1024 2 8
2.71 1024 2 10
2.70 1024 2 12
2.71 1024 2 14
2.71 1024 2 16
8.03 1024 3 1
5.38 1024 3 2
2.76 1024 3 4
2.75 1024 3 6
2.75 1024 3 8
2.76 1024 3 10
2.75 1024 3 12
2.75 1024 3 14
2.76 1024 3 16
10.73 1024 4 1
5.43 1024 4 2
2.79 1024 4 4
2.78 1024 4 6
2.80 1024 4 8
2.93 1024 4 10
2.93 1024 4 12
2.92 1024 4 14
2.91 1024 4 16
13.40 1024 5 1
8.10 1024 5 2
5.42 1024 5 4
2.86 1024 5 6
2.88 1024 5 8
2.89 1024 5 10
3.23 1024 5 12
3.13 1024 5 14
3.09 1024 5 16
16.12 1024 6 1
8.16 1024 6 2
5.49 1024 6 4
2.92 1024 6 6
2.92 1024 6 8
3.00 1024 6 10
2.98 1024 6 12
3.49 1024 6 14
3.38 1024 6 16
18.82 1024 7 1
10.76 1024 7 2
5.54 1024 7 4
5.82 1024 7 6
3.06 1024 7 8
3.06 1024 7 10
3.09 1024 7 12
3.08 1024 7 14
3.50 1024 7 16
21.43 1024 8 1
10.79 1024 8 2
5.60 1024 8 4
5.64 1024 8 6
3.24 1024 8 8
3.29 1024 8 10
3.29 1024 8 12
3.52 1024 8 14
3.63 1024 8 16
24.15 1024 9 1
13.43 1024 9 2
8.17 1024 9 4
5.66 1024 9 6
5.87 1024 9 8
4.15 1024 9 10
4.10 1024 9 12
4.13 1024 9 14
3.79 1024 9 16
26.92 1024 10 1
13.47 1024 10 2
8.18 1024 10 4
5.88 1024 10 6
6.27 1024 10 8
4.61 1024 10 10
4.53 1024 10 12
4.83 1024 10 14
4.69 1024 10 16
29.81 1024 11 1
16.15 1024 11 2
8.43 1024 11 4
6.08 1024 11 6
6.33 1024 11 8
7.46 1024 11 10
4.62 1024 11 12
5.11 1024 11 14
4.84 1024 11 16
32.12 1024 12 1
16.17 1024 12 2
8.42 1024 12 4
6.50 1024 12 6
6.50 1024 12 8
6.57 1024 12 10
5.15 1024 12 12
5.22 1024 12 14
5.15 1024 12 16
34.82 1024 13 1
18.84 1024 13 2
11.03 1024 13 4
8.78 1024 13 6
6.40 1024 13 8
7.71 1024 13 10
7.27 1024 13 12
5.19 1024 13 14
5.41 1024 13 16
37.51 1024 14 1
18.83 1024 14 2
10.92 1024 14 4
8.42 1024 14 6
6.69 1024 14 8
7.73 1024 14 10
7.70 1024 14 12
5.70 1024 14 14
5.94 1024 14 16
40.20 1024 15 1
21.49 1024 15 2
11.16 1024 15 4
9.22 1024 15 6
7.08 1024 15 8
7.01 1024 15 10
8.10 1024 15 12
7.27 1024 15 14
6.10 1024 15 16
44.08 1024 16 1
21.52 1024 16 2
11.59 1024 16 4
9.49 1024 16 6
7.25 1024 16 8
8.02 1024 16 10
8.21 1024 16 12
8.57 1024 16 14
6.52 1024 16 16
30.99 2048 1 1
30.53 2048 1 2
30.82 2048 1 4
30.13 2048 1 6
34.15 2048 1 8
32.08 2048 1 10
31.04 2048 1 12
30.27 2048 1 14
30.93 2048 1 16
61.87 2048 2 1
32.95 2048 2 2
34.38 2048 2 4
33.43 2048 2 6
31.83 2048 2 8
31.96 2048 2 10
32.20 2048 2 12
32.50 2048 2 14
32.48 2048 2 16
90.59 2048 3 1
63.59 2048 3 2
